Sort order,Area,Code,1990,1995,2000,2005,2010,2015,2017,migrants 1990,migrants 1995,migrants 2000,migrants 2005,migrants 2010,migrants 2015,migrants 2017
1,WORLD,900,152542373,160700028,172604257,190531600,220019266,247585744,257715425,5330943,5751474,6145007,6542159,6958169,7383009,7550262
2,More developed regions,901,82391619,92331345,103417894,116295565,130683517,140250197,145983830,1146999,1171325,1190505,1210546,1235143,1253207,1259922
3,Less developed regions,902,70150754,68368683,69186363,74236035,89335749,107335547,111731595,4183944,4580149,4954502,5331614,5723027,6129802,6290340
4,Least developed countries,941,11073226,11708074,10073307,9803046,9994197,13804757,14441715,510828,585496,664805,754118,848792,956631,1002486
5,"Less developed regions, excluding least developed countries",934,59116432,56701134,59155202,64483287,79393605,93572872,97330919,3673171,3994717,4289763,4577575,4874319,5173249,5287931
6,High-income countries,1503,75239010,86645274,100404811,117786056,141789049,156816897,164846887,979798,1014366,1048290,1084099,1125490,1156575,1167958
7,Middle-income countries,1517,68475181,64413423,64042290,64661461,70204762,79772836,81439828,4026594,4363507,4669330,4967089,5269984,5581750,5702407
8,Upper-middle-income countries,1502,33412332,33181319,33846189,35813417,39705036,48222417,49731791,2099726,2229246,2329418,2420247,2512514,2611849,2647482
9,Lower-middle-income countries,1501,35062849,31232104,30196101,28848044,30499726,31550419,31708037,1926868,2134261,2339912,2546842,2757470,2969901,3054924
10,Low-income countries,1500,8533974,9287911,7732730,7604325,7545206,10491456,10914651,322686,371553,425130,488441,560007,641859,677007
11,Sub-Saharan Africa,947,14690319,15324570,13716539,14272361,15691999,21705234,22975988,513477,588910,672258,767837,879522,1007882,1063198
12,AFRICA,903,15690623,16352814,14800306,15462306,17007249,23436088,24650223,634567,722922,817566,924758,1049446,1194370,1256268
13,Eastern Africa,910,5964031,5022742,4844795,4745792,4657063,6920965,7591799,198646,226021,261114,300600,346987,399458,422036
14,Burundi,108,333110,254853,125628,172874,235259,289810,299569,5415,5962,6401,7423,8767,10199,10864
15,Comoros,174,14079,13939,13799,13209,12618,12555,12555,412,475,542,612,690,777,814
16,Djibouti,262,122221,99774,100507,92091,101575,112351,116089,590,630,718,783,851,927,957
17,Eritrea,232,11848,12400,12952,14314,15676,15941,16041,3113,3090,3393,3969,4391,4847,5069
18,Ethiopia,231,1155390,806904,611384,514242,567720,1162576,1227143,48087,57310,66537,76727,87703,99873,104957
19,Kenya,404,297292,618745,699139,756894,926959,1084357,1078572,23403,27346,31450,36048,41350,47236,49700
20,Madagascar,450,23917,21177,23541,26058,28905,32075,33844,11599,13475,15767,18337,21152,24234,25571
21,Malawi,454,1127724,241624,232620,221661,217722,232803,237104,9438,9909,11376,13040,15167,17574,18622
22,Mauritius,480,3613,7493,15543,19647,24836,28585,28713,1056,1129,1185,1222,1248,1259,1265
23,Mayotte,175,15229,26316,45474,63176,72757,73992,74399,95,123,150,178,209,240,253
24,Mozambique,508,122332,168256,195702,204830,214612,238930,246954,13248,15759,18068,20923,24221,28011,29669
25,Reunion,638,57210,77159,100678,115076,123029,127209,129153,611,674,737,792,831,863,877
26,Rwanda,646,159869,233200,347076,432797,436787,441525,443088,7236,5928,8026,8992,10247,11630,12208
27,Seychelles,690,3721,5148,6574,8997,11420,12791,12926,71,77,81,89,91,94,95
28,Somalia,706,478294,19527,20087,20670,23995,41578,44868,7397,7705,9011,10410,12053,13908,14743
29,South Sudan,728,..,..,..,..,257905,844122,845239,5768,5460,6701,8109,10067,11882,12576
30,Uganda,800,558307,634620,634703,652968,529160,1197162,1692120,17439,20550,24039,28544,33915,40145,42863
31,United Republic of Tanzania,834,574025,1106043,928180,770846,308600,413309,492574,25460,29961,34178,39411,46099,53880,57310
32,Zambia,894,279029,244338,321167,252749,149637,155428,156982,8027,9137,10531,12052,13850,16101,17094
33,Zimbabwe,716,626821,431226,410041,392693,397891,403866,403866,10183,11320,12222,12940,14086,15777,16530
34,Middle Africa,911,1460530,2646108,1756687,1928828,2139979,3436978,3539697,71331,84196,96099,111954,131351,153743,163495
35,Angola,24,33517,39813,46108,61329,76549,632178,638499,12171,14269,16441,19553,23369,27859,29784
36,Cameroon,120,265344,246864,228383,258737,289091,508357,540266,11715,13461,15274,17421,19970,22835,24054
37,Central African Republic,140,67234,99712,123529,94449,93466,81598,88774,2940,3353,3755,4128,4449,4546,4659
38,Chad,148,74342,89584,104825,352062,416924,516968,489690,5957,7001,8343,10067,11887,14009,14900
39,Congo,178,129597,191635,305002,315238,419649,392996,398890,2440,2799,3226,3718,4387,4996,5261
40,Democratic Republic of the Congo,180,754194,1816963,744387,622869,588950,824492,879223,34615,41596,47076,54751,64523,76197,81340
41,Equatorial Guinea,226,2740,3629,4517,6588,8658,209611,221865,427,505,614,757,951,1175,1268
42,Gabon,266,127980,152972,195571,214123,243992,268384,280197,952,1086,1231,1403,1640,1930,2025
43,Sao Tome and Principe,678,5582,4936,4365,3433,2700,2394,2293,114,126,139,156,175,196,204
44,Northern Africa,912,2403200,2081640,1885650,1731939,1893613,2354732,2410056,141238,158115,172559,187832,204310,225136,233604
45,Algeria,12,273954,262032,250110,197422,216964,239473,248624,25912,28904,31184,33288,36118,39872,41318
46,Egypt,818,173708,166955,173452,274001,295714,565931,478310,57412,63714,69906,76778,84108,93778,97553
47,Libya,434,457075,508041,567436,625212,683998,771146,788419,4437,4949,5356,5793,6169,6235,6375
48,Morocco,504,54895,50360,53034,54379,70909,92424,95835,24879,27075,28850,30521,32410,34803,35740
49,Sudan,729,1402896,1053396,801883,541994,578363,623878,735821,20148,24103,27251,30912,34386,38648,40533
50,Tunisia,788,37984,37867,36446,35040,43172,56701,57663,8233,9114,9699,10102,10640,11274,11532
51,Western Sahara,732,2688,2989,3289,3891,4493,5179,5384,217,256,314,438,480,526,553
52,Southern Africa,913,1392359,1191582,1222314,1439426,2357093,4112793,4338205,42818,48035,52286,55764,59016,63420,65143
53,Botswana,72,27510,40168,57064,88829,120912,160644,166430,1378,1569,1728,1856,2015,2209,2292
54,Lesotho,426,8240,7204,6167,6290,6414,6572,6749,1604,1761,1869,1950,2041,2175,2233
55,Namibia,516,120641,115372,134403,106274,102405,96888,95067,1415,1655,1899,2032,2173,2426,2534
56,South Africa,710,1163883,1003807,1001825,1210936,2096886,3816696,4036696,37561,42088,45728,48821,51585,55291,56717
57,Swaziland,748,72085,25031,22855,27097,30476,31993,33263,861,961,1061,1106,1203,1319,1367
58,Western Africa,914,4470503,5410742,5090860,5616321,5959501,6610620,6770466,180533,206555,235508,268608,307781,352614,371990
59,Benin,204,76212,104971,133730,171499,209267,245399,253284,4978,5906,6866,7982,9199,10576,11176
60,Burkina Faso,854,349657,434848,520039,596972,673904,704676,708921,8811,10090,11608,13422,15605,18111,19193
61,Cabo Verde,132,8931,9979,11027,12700,14373,14924,15295,342,389,435,475,502,533,546
62,Cote d'Ivoire,384,1816426,2076394,1994135,2010824,2095185,2175399,2197152,12268,14541,16687,18336,20401,23108,24295
63,Gambia,270,118123,150890,182514,181905,185763,192540,205063,917,1066,1232,1444,1692,1978,2101
64,Ghana,288,164851,252879,191601,304436,337017,399471,417642,14628,16760,18939,21542,24512,27583,28834
65,Guinea,324,403621,774505,560075,229611,177998,126386,122796,6041,7871,8809,9680,10794,12092,12717
66,Guinea-Bissau,624,15368,27961,20450,20736,21061,22333,23405,1012,1137,1243,1381,1556,1771,1861
67,Liberia,430,94964,208563,151868,87188,99129,113779,98630,2097,2073,2885,3261,3948,4500,4732
68,Mali,466,160736,176187,189475,256797,336607,365145,383721,8465,9604,10968,12799,15075,17468,18542
69,Mauritania,478,111650,89562,57366,58119,84679,166552,168438,2030,2327,2709,3131,3610,4182,4420
70,Niger,562,115464,145999,122260,124461,126464,252998,295610,8013,9477,11353,13618,16426,19897,21477
71,Nigeria,566,456621,462999,487882,969294,988679,1199115,1235088,95270,108011,122352,138939,158578,181182,190886
72,Saint Helena,654,383,394,405,487,569,604,606,6,5,5,4,4,4,4
73,Senegal,686,270410,287654,231901,238298,256092,263242,265601,7556,8747,9884,11251,12916,14977,15851
74,Sierra Leone,694,222242,105374,98241,149615,97452,91213,95248,4312,4275,4564,5658,6459,7237,7557
75,Togo,768,84844,101583,137891,203379,255262,276844,283966,3787,4274,4970,5683,6503,7417,7798
76,ASIA,935,48108431,46422010,49198332,53243730,65921788,76558152,79586709,3221342,3489306,3730371,3964343,4194425,4419898,4504428
77,Central Asia,5500,6630683,5890035,5183872,5238699,5262414,5393504,5462972,50343,53437,55559,58738,63156,68705,70840
78,Kazakhstan,398,3619200,3245250,2871300,3102962,3334623,3546778,3635168,16540,16035,15057,15541,16399,17750,18204
79,Kyrgyzstan,417,623083,510296,389558,312897,231511,204382,200294,4373,4566,4921,5075,5422,5865,6045
80,Tajikistan,762,428900,348347,299266,280444,278152,275059,273259,5284,5765,6216,6854,7642,8549,8921
81,Turkmenistan,795,306500,273565,218498,213051,197979,196386,195061,3684,4208,4516,4755,5087,5565,5758
82,Uzbekistan,860,1653000,1512577,1405250,1329345,1220149,1170899,1159190,20462,22863,24849,26512,28606,30976,31911
83,Eastern Asia,906,3959345,4658475,5393081,6229524,7061814,7600768,7776716,1388798,1463529,1512378,1555012,1595829,1635150,1648165
84,China,156,376361,442198,508034,678947,849861,978046,999527,1172445,1239940,1283199,1321623,1359755,1397029,1409517
85,"China, Hong Kong SAR",344,2218473,2443798,2669122,2721235,2779950,2838665,2883051,5781,6140,6664,6828,7025,7246,7365
86,"China, Macao SAR",446,205047,224929,240791,279308,318506,342703,353654,344,386,428,483,537,601,623
87,Dem. People's Republic of Korea,408,34103,35143,36183,40097,44010,48458,48939,20293,21862,22929,23904,24592,25244,25491
88,Japan,392,1075626,1381097,1686567,2012916,2134151,2232189,2321476,124516,126375,127534,128336,128552,127975,127484
89,Mongolia,496,6718,7424,8206,11475,16061,17620,18204,2184,2298,2397,2526,2713,2977,3076
90,Republic of Korea,410,43017,123886,244178,485546,919275,1143087,1151865,42923,45299,47386,48708,49553,50594,50982
91,Southern Asia,5501,19436343,15343019,15278020,13722011,14307646,14173830,13582402,1189316,1320106,1452758,1583092,1705374,1823308,1868985
92,Afghanistan,4,57686,71522,75917,87300,102246,489749,133612,12249,17100,20094,25071,28803,33736,35530
93,Bangladesh,50,881617,934735,987853,1166700,1345546,1422805,1500921,106189,118707,131581,143431,152149,161201,164670
94,Bhutan,64,23807,27972,32137,40279,48420,51106,52296,537,515,573,657,728,787,808
95,India,356,7493204,6952238,6411272,5923642,5436012,5240960,5188550,870133,960483,1053051,1144119,1230981,1309054,1339180
96,Iran (Islamic Republic of),364,4291601,2937668,2803805,2568930,2761561,2726420,2699155,56226,60576,66132,70422,74568,79360,81163
97,Maldives,462,8689,18510,27092,45045,54659,64273,67026,223,254,280,319,365,418,436
98,Nepal,524,429974,690225,717900,679457,578657,509855,502670,18749,21396,23741,25640,27023,28656,29305
99,Pakistan,586,6208204,3669308,4181912,3171132,3941586,3628956,3398154,107679,122829,138523,153910,170560,189381,197016
100,Sri Lanka,144,41561,40841,40132,39526,38959,39706,40018,17330,18247,18782,19525,20198,20714,20877
101,South-Eastern Asia,920,2876616,3700057,4926833,6522343,8673693,9609923,9873600,444097,485371,524657,561770,597328,634610,648780
102,Brunei Darussalam,96,73200,84748,96296,98441,100587,102733,108612,259,297,333,365,389,418,429
103,Cambodia,116,38375,92230,146085,114031,81977,73963,76329,8973,10654,12152,13270,14309,15518,16005
104,Indonesia,360,465612,378960,292307,289568,305416,338124,345930,181437,196958,211540,226713,242524,258162,263991
105,Lao People's Democratic Republic,418,22866,23526,21948,20371,32473,44575,45466,4258,4852,5329,5754,6246,6664,6858
106,Malaysia,458,695920,937368,1277223,1722344,2406011,2650617,2703629,18038,20496,23186,25659,28112,30723,31624
107,Myanmar,104,133545,113663,98011,83025,76414,73308,74660,40626,43238,46095,48483,50156,52404,53371
108,Philippines,608,154071,207345,318095,257468,208599,211862,218530,61947,69836,77992,86274,93727,101716,104918
109,Singapore,702,727262,991492,1351691,1710594,2164794,2543638,2623404,3013,3479,3914,4491,5074,5535,5709
110,Thailand,764,528693,809720,1257821,2163447,3224131,3486526,3588873,56583,59492,62958,65425,67209,68658,69038
111,Timor-Leste,626,8954,9743,10602,11286,11535,11784,12063,752,871,872,1026,1110,1241,1296
112,Viet Nam,704,28118,51262,56754,51768,61756,72793,76104,68210,75199,80286,84309,88473,93572,95541
113,Western Asia,922,15205444,16830424,18416526,21531153,30616221,39780127,42891019,148788,166864,185019,205731,232738,258124,267660
114,Armenia,51,658789,693999,657900,469119,221560,191199,190719,3538,3217,3070,2981,2877,2917,2930
115,Azerbaijan,31,360600,344070,327540,302220,276901,264241,259241,7243,7775,8123,8539,9032,9617,9828
116,Bahrain,48,173212,205979,239361,404018,657856,704137,722649,496,564,665,889,1241,1372,1493
117,Cyprus,196,43805,61941,80076,117165,188472,192020,188973,767,855,943,1028,1113,1161,1180
118,Georgia,268,304470,152235,76117,72311,73034,76685,78218,5410,5020,4722,4487,4232,3952,3912
119,Iraq,368,83638,199460,210525,132915,117389,359381,366568,17469,20208,23565,27008,30763,36116,38275
120,Israel,376,1632704,1792185,1851309,1889503,1950615,2011727,1962123,4500,5334,6014,6603,7426,8065,8322
121,Jordan,400,1146349,1537097,1927845,2325414,2722983,3112026,3233553,3561,4573,5103,5714,7182,9159,9702
122,Kuwait,414,1074391,921954,1127640,1333327,1871537,2866136,3123431,2100,1611,2051,2277,2998,3936,4137
123,Lebanon,422,523693,608303,692913,756784,820655,1973204,1939212,2703,3033,3235,3987,4337,5851,6082
124,Oman,512,304000,539643,623608,666160,816221,1814591,2073292,1812,2204,2268,2511,3041,4200,4636
125,Qatar,634,309753,361673,359697,646026,1456413,1687640,1721392,476,513,592,865,1780,2482,2639
126,Saudi Arabia,682,4998445,5122702,5263387,6501819,8429956,10771366,12185284,16327,18736,20764,23906,27426,31557,32938
127,State of Palestine,275,288332,281767,275202,266617,258032,255507,253735,2101,2618,3223,3576,4067,4663,4921
